Echantillons;Etat;Var;Squalane;BetaCaryophyllene;AlphaCaryophyllene;Guaiol;gEudesmol;Bulnesol;AlphaBisabolol;Cannabinoide1;THV;Cannabinoide2;CBL;CBDCBC;D9THC;CBG;CBN;Nonacosane
AF001_a;Stupefiant;AF;3591971;1105;1597;0;0;0;4771;909;1771;1984;2684;92867;194054;2131;5355;19415
AF001_b;Stupefiant;AF;3527968;1189;1539;0;0;0;4613;870;1787;2715;2814;93359;192926;2456;5580;19947
AF001_c;Stupefiant;AF;4447698;1172;1523;0;0;0;4428;892;2299;2738;4828;173416;269246;1790;8637;21667
AF002_a;Stupefiant;AF;3563450;2589;3375;0;0;0;9055;2823;7606;8580;9529;451489;782277;11349;21198;46424
AF002_b;Stupefiant;AF;3559363;2336;3156;0;0;0;8219;2569;7344;8130;9445;450481;781803;10920;20654;43958
AF002_c;Stupefiant;AF;3570871;2542;3313;0;0;0;8623;2647;8041;9610;10364;480276;825578;11531;22845;48745
AF003_a;Stupefiant;AF;3550394;1144;1259;0;0;0;6704;0;4874;5177;5585;252756;467494;4610;10606;39119
AF003_b;Stupefiant;AF;3594742;1254;1445;0;0;0;6202;0;4876;6117;5800;273203;525283;4689;11687;37809
AF003_c;Stupefiant;AF;3583625;982;1398;0;0;0;6016;1648;5160;6425;6886;277608;541352;4509;11439;41427
AF004_a;Stupefiant;AF;3560861;1906;2556;0;0;0;7435;0;6864;6837;7464;376399;703924;10048;16310;47565
AF004_b;Stupefiant;AF;3571205;1655;2539;0;0;0;6837;0;5896;7230;6894;361363;639407;9113;14743;43869
AF004_c;Stupefiant;AF;3549642;1728;2205;0;0;0;6567;1942;6878;7206;7142;377497;679014;9070;16234;44806
AF005_a;Stupefiant;AF;3549269;1563;2058;0;0;0;7017;0;5291;5346;6566;278074;519272;6300;11728;36849
AF005_b;Stupefiant;AF;3564255;1606;2131;0;0;0;6643;1535;4985;5297;7610;272747;534752;6509;12573;35109
AF005_c;Stupefiant;AF;3581322;1706;2193;0;0;0;6863;1238;5439;5031;8593;295432;579505;7008;13632;39898
AF006_a;Stupefiant;AF;3584421;1349;1989;0;0;0;3565;0;3316;3949;4878;161940;340092;2105;11276;60023
AF006_b;Stupefiant;AF;3594364;1280;1660;0;0;0;3408;0;3080;4849;4432;163114;339607;2168;11493;55413
AF007_a;Stupefiant;AF;3557684;1617;2310;0;0;0;4326;2060;4366;4683;5613;245829;429217;2454;16187;50811
AF007_b;Stupefiant;AF;3577444;1753;2200;0;0;0;4128;2036;4238;5683;6754;250579;444733;2144;15725;48156
AF007_c;Stupefiant;AF;3579666;1794;2069;0;0;0;3885;1683;4118;4902;6876;242567;425798;2341;15450;48075
AF008_a;Stupefiant;AF;3611340;1062;1436;0;0;0;3276;0;1716;2157;2709;86756;187972;1729;5727;33824
AF008_b;Stupefiant;AF;3604135;1096;1452;0;0;0;4292;0;1607;2690;3046;88815;198408;2008;6415;34538
AF009_a;Stupefiant;AF;3601548;1524;2151;0;0;0;5993;1640;3386;3566;7170;214024;358360;2538;10357;23876
AF009_b;Stupefiant;AF;3617386;1588;2248;0;0;0;5441;1682;3448;4012;8234;228764;391092;2841;9983;25054
AF009_c;Stupefiant;AF;3627297;1535;2141;0;0;0;5766;1867;3798;4681;8015;231049;387959;3072;9993;28033
AF010_a;Stupefiant;AF;4493686;2376;3428;0;0;0;9533;2583;9153;9055;14214;599076;842268;8092;35078;44993
AF010_b;Stupefiant;AF;4472000;2203;2799;0;0;0;9841;2599;8868;10189;14592;612661;864052;7342;37361;43032
AF010_c;Stupefiant;AF;4470192;2118;2870;0;0;0;8817;2556;9519;9917;15125;609804;903904;9087;38415;45209
AK001_a;Stupefiant;AK;3060915;0;0;3795;2770;2158;1152;0;1697;3865;2795;157759;241286;1626;6779;24774
AK001_b;Stupefiant;AK;3083416;0;0;3160;2317;2047;874;0;1411;4641;3312;175265;262889;1627;7769;29804
AK001_c;Stupefiant;AK;3070788;0;0;3409;2348;2141;778;1212;1606;4001;3238;172699;259849;1682;7096;27698
AK002_a;Stupefiant;AK;3083192;700;717;2359;1622;1447;0;0;1072;2427;2195;101845;169129;1861;4799;32453
