Place;Canton;Date;Name;MEC;AC;AcTB;X6MAM;DAM;PAP;NOS;Caffeine;Paracetamol
GENEVE;GE;8/22/2006;328_09_06_4_c;81478;1460840;524386;976240;9345708;1130248;12586119;6719683;3177423
GENEVE;GE;8/22/2006;328_09_06_4_b;78699;1435465;522711;927159;9314213;1083938;12000104;6076787;3234446
GENEVE;GE;8/22/2006;328_09_06_4_a;78298;1439481;526875;903169;9344371;1112397;12444251;7562414;3210329
GENEVE;GE;8/22/2006;328_09_06_3_c;81586;1429876;533554;864780;9352047;1131995;12738970;7284830;3595810
GENEVE;GE;8/22/2006;328_09_06_3_b;81768;1429600;549261;828734;9400828;1172252;13252562;7960738;3648560
GENEVE;GE;8/22/2006;328_09_06_3_a;84991;1476076;574539;791342;9779313;1196247;13653937;7885287;3907853
GENEVE;GE;8/22/2006;328_09_06_2_c;86957;1508213;570836;906492;9569856;1186254;13245374;6204861;3756634
GENEVE;GE;8/22/2006;328_09_06_2_b;82353;1430665;547658;838927;9439717;1125269;12609433;6566699;3173474
GENEVE;GE;8/22/2006;328_09_06_2_a;91784;1555633;577397;884677;10061310;1204581;13421167;7010632;3593059
GENEVE;GE;10/30/2006;461_12_06_7_c;72828;1157477;453768;824216;8851307;947977;11264121;7196640;3398230
GENEVE;GE;10/30/2006;461_12_06_7_b;76968;1155947;448821;823841;8821637;960701;11318917;7806487;3016247
GENEVE;GE;10/30/2006;461_12_06_7_a;75383;1192974;463724;848816;9199856;970617;11734156;6709962;3882621
GENEVE;GE;10/30/2006;461_12_06_6_c;73166;1098183;416688;930987;8253962;877047;10266430;6924663;3939108
GENEVE;GE;10/30/2006;461_12_06_6_b;75509;1106989;426049;916234;8260881;868852;10209929;7331805;3939700
GENEVE;GE;10/30/2006;461_12_06_6_a;36018;1067703;424228;834972;8176180;857297;10247734;6504624;3798628
GENEVE;GE;10/30/2006;461_12_06_5_c;40783;1184724;456835;859746;9015783;952835;11286075;6317118;3691899
GENEVE;GE;10/30/2006;461_12_06_5_b;57565;1259060;485619;868710;9701270;1028114;12747953;6371232;3860675
GENEVE;GE;10/30/2006;461_12_06_5_a;32822;1132447;431783;788764;8561407;918953;11053781;7479625;3245706
GENEVE;GE;10/30/2006;461_12_06_4_c;77269;1236193;448724;913717;9130061;1074523;12607193;7168601;3079731
GENEVE;GE;10/30/2006;461_12_06_4_b;99374;1814799;605387;1171725;13855156;1398917;15761694;7265534;3724612
GENEVE;GE;10/30/2006;461_12_06_4_a;78900;1251414;471809;961841;9456064;1123902;13137470;7416147;3225921
GENEVE;GE;10/30/2006;461_12_06_3_c;87967;1267889;483896;1062042;9524233;1033192;12564372;7571306;3541366
GENEVE;GE;10/30/2006;461_12_06_3_b;75261;1259727;458693;1020400;9446748;993303;12033503;7180414;3318073
GENEVE;GE;10/30/2006;461_12_06_3_a;79385;1360920;484627;1044028;10266541;1017460;11662471;6853970;3311519
GENEVE;GE;10/30/2006;461_12_06_2_c;91178;1314014;584167;1024713;10257751;1235892;14061893;7100098;3017629
GENEVE;GE;10/30/2006;461_12_06_2_b;68027;987200;380642;813849;7456350;829907;10138374;6481831;3791445
GENEVE;GE;10/30/2006;461_12_06_2_a;74455;1153387;498200;892750;8816465;999065;12143296;7916022;3892297
GENEVE;GE;10/30/2006;461_12_06_1_c;88226;1230626;510819;1032781;9282618;1124178;13376626;7492852;3918334
